,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
142,6481052,Serviced apartment in Orchard  · ★4.65 · 1 bedroom · 2 beds · 1.5 baths,https://www.airbnb.com/rooms/6481052,1.5 baths,Entire home/apt,1.0,2.0
143,6529707,Home in Singapore · ★4.92 · 2 bedrooms · 2 beds · 1 shared bath,https://www.airbnb.com/rooms/6529707,1 shared bath,Private room,,2.0
144,6547248,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/6547248,1 bath,Private room,,1.0
145,6603464,Bungalow in Singapore · ★4.44 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/6603464,1 private bath,Private room,1.0,1.0
146,6607671,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/6607671,1 bath,Entire home/apt,1.0,2.0
147,6620261,Condo in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/6620261,1 bath,Entire home/apt,1.0,1.0
148,6630341,Home in Singapore · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/6630341,1 shared bath,Private room,,1.0
149,6638508,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/6638508,1 private bath,Private room,,1.0
150,6663672,Home in Singapore · 1 bedroom · 2 beds · 0 baths,https://www.airbnb.com/rooms/6663672,0 baths,Private room,1.0,2.0
151,6693516,Rental unit in Singapore · ★4.78 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/6693516,1 bath,Entire home/apt,1.0,1.0
152,6716844,Bed and breakfast in Singapore · 1 bedroom · 1 bed · 8 baths,https://www.airbnb.com/rooms/6716844,8 baths,Private room,1.0,1.0
153,6718219,Home in Singapore · ★4.92 · 1 bedroom · 2 beds · 1 private bath,https://www.airbnb.com/rooms/6718219,1 private bath,Private room,,2.0
154,6718514,Home in Singapore · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/6718514,1 shared bath,Private room,,1.0
155,6831622,Rental unit in Singapore · ★4.65 · 1 bedroom · 1 bed · 1.5 baths,https://www.airbnb.com/rooms/6831622,1.5 baths,Entire home/apt,1.0,1.0
156,6837947,Rental unit in Singapore · 3 bedrooms · 3 beds · 2 baths,https://www.airbnb.com/rooms/6837947,2 baths,Entire home/apt,3.0,3.0
157,7117201,Condo in Singapore · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/7117201,1 bath,Entire home/apt,,1.0
158,7156419,Condo in Singapore · ★4.79 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/7156419,1 bath,Entire home/apt,1.0,1.0
159,7162659,Condo in Singapore · ★4.50 · 2 bedrooms · 3 beds · 3 baths,https://www.airbnb.com/rooms/7162659,3 baths,Entire home/apt,2.0,3.0
